SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117813219	122	52	249	82	76	43	157	110	48	89	512	366	203	80	68
LOC117813220	0	0	0	0	0	0	2	0	1	0	2	0	2	29	8
LOC117813185	0	0	0	0	0	3	0	1	1	1	1	2	5	16	10
timd4	6	16	44	37	37	10	199	292	133	73	4	3	3	16	6
LOC117812855	0	5	2	6	31	13	7	2	5	2	19	13	16	142	25
LOC117812857	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
pgap2	178	232	95	87	118	298	40	20	19	40	1000	941	520	467	308
rhogb	135	189	84	90	99	174	91	145	76	86	44	124	176	201	205
LOC117812973	204	181	128	72	152	85	123	67	62	110	82	102	202	233	139
dub	2	8	16	30	7	127	52	82	42	44	44	94	235	214	154
guca1d	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
alg8	637	542	511	482	480	271	332	160	113	317	461	448	334	208	117
ccdc90b	101	106	53	66	56	194	76	81	43	65	318	307	335	378	233
pcf11	504	319	446	424	627	208	315	180	195	458	979	810	943	778	363
ncbp3	590	416	320	306	379	462	70	41	64	96	1886	1539	1254	514	374
LOC117813425	2	1	1	0	1	10	2	1	5	1	45	29	71	179	55
trnas-uga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnaa-cgc_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnav-uac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813372	2	1	2	2	3	24	4	1	1	2	333	218	225	173	67
LOC117813373	0	0	0	0	0	2	1	0	0	0	1	1	1	8	9
LOC117813126	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
LOC117812719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nup98	1028	762	878	756	1176	594	556	204	251	469	4800	3424	3641	1539	989
LOC117812311	0	0	2	0	0	2	0	0	1	0	0	0	5	1	3
LOC117812309	6	0	37	8	0	52	7	8	22	37	4	4	33	23	13
LOC117812720	638	1368	312	578	376	1570	135	42	135	94	566	523	1131	694	455
rnasekb	319	359	242	285	236	407	315	327	262	224	1172	910	625	863	606
LOC117812608	321	347	192	198	208	137	77	30	41	85	104	116	189	330	134
LOC117812619	89	62	21	41	57	246	35	13	33	31	1694	1683	1223	883	553
im:7136398	19	40	16	14	19	28	15	14	15	12	108	64	83	170	84
LOC117812581	0	0	0	0	0	1	2	0	1	0	5	3	6	52	16
LOC117812582	92	70	129	128	166	51	130	44	15	110	122	75	71	89	36
med31	637	955	499	630	724	546	322	130	101	304	399	370	387	299	194
slc13a5a	0	7	0	2	3	1	1	2	2	0	12	10	7	31	15
LOC117812721	0	0	1	0	1	1	0	0	0	0	2	1	1	20	4
serpinf1	4	4	5	8	3	8	17	19	12	5	23	25	39	237	95
slco2b1	3	13	2	4	2	27	19	34	16	12	7	3	60	70	30
LOC117812318	1	0	0	0	1	3	1	0	0	0	5	9	4	68	5
LOC117812262	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117812263	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
LOC117812888	0	0	0	1	0	7	0	1	0	0	23	30	4	29	6
LOC117813207	0	0	0	0	0	0	0	0	0	0	1	2	2	12	1
LOC117812591	250	292	185	238	216	264	166	74	98	129	804	592	640	504	260
LOC117812306	0	0	0	0	0	1	0	0	0	0	37	13	17	7	3
btg4	5515	5512	6459	6722	7690	3816	4593	2352	2139	4037	30	13	11	43	15
LOC117812654	1689	1156	1417	2734	1911	1823	1652	712	1040	1562	2871	2505	4029	2442	1825
LOC117812652	188	609	7	8	2	21	3	7	4	9	2	2	4	1	8
LOC117813057	14	10	1	2	2	34	9	5	6	4	134	107	150	221	72
LOC117813441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_33	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
trnaw-cca_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ncf1	2	6	4	9	4	50	65	28	38	21	33	125	151	103	67
LOC117813059	0	0	0	0	0	1	0	0	0	0	49	40	39	9	5
alkbh4	146	176	238	171	145	103	148	104	61	142	56	67	108	117	75
LOC117812546	156	128	52	47	68	72	21	29	19	27	106	139	226	203	100
mcama	37	82	29	49	40	274	67	18	118	26	451	442	1274	5024	1761
LOC117812919	0	0	0	0	0	0	0	1	0	0	1	1	2	2	2
LOC117813034	319	674	264	228	254	628	158	116	119	190	389	333	365	352	231
styxl1	0	0	0	0	0	57	0	0	1	0	991	898	540	212	143
LOC117813033	0	2	6	2	7	3	2	0	0	1	9	11	12	14	6
dbn1	29	42	20	25	7	220	31	34	49	18	65	62	146	218	159
LOC117813110	0	0	0	0	0	4	1	0	1	0	3	5	8	44	11
zgc:77151	169	247	50	52	85	157	26	11	25	21	497	372	360	313	182
LOC117812530	0	1	3	6	2	15	19	22	8	4	27	44	50	126	68
uimc1	197	144	91	118	110	173	55	19	32	51	961	926	940	652	330
trnad-guc_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnav-aac_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812601	448	513	210	165	312	262	42	28	35	55	228	116	228	272	112
LOC117812602	0	0	0	0	0	3	0	0	0	0	13	7	15	13	4
LOC117813357	11	13	17	10	11	14	9	10	26	9	9	4	15	22	4
LOC117813358	1	0	0	0	0	1	0	0	0	0	3	1	1	0	0
nipal4	42	50	46	45	47	35	22	24	23	27	32	30	43	42	16
LOC117812953	0	0	0	0	0	0	0	0	0	0	2	1	0	1	3
LOC117812952	0	0	2	3	1	2	5	1	1	0	7	3	5	20	7
LOC117812939	394	281	383	284	481	148	200	67	51	212	239	320	255	284	158
LOC117812431	652	450	137	309	245	926	566	673	528	347	65	71	85	50	36
LOC117812428	202	161	126	159	150	171	400	432	310	232	20	19	14	7	8
LOC117812725	34	47	48	56	54	99	39	82	54	49	6	5	4	3	8
LOC117812433	7	4	1	9	5	5	1	3	1	6	1	0	0	2	0
LOC117812420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812421	6	3	13	13	4	4	17	12	8	8	1	0	3	1	1
LOC117812425	20	14	25	28	25	50	21	28	40	29	4	1	3	2	3
LOC117812430	16	19	13	8	12	26	17	35	15	15	12	13	0	3	3
LOC117812432	103	124	74	76	78	184	121	199	214	121	8	1	5	7	9
LOC117812439	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
LOC117812434	29	56	11	6	14	107	42	38	25	27	2	0	0	1	2
LOC117812427	31	65	22	77	69	113	96	161	126	105	4	8	6	1	1
cdx1b	1	1	0	0	1	1	0	0	1	0	10	15	11	8	3
taf9	1167	1967	1641	1349	1852	2020	1651	1910	1444	1681	1147	1191	862	746	504
LOC117812396	14	34	9	13	11	110	7	5	15	9	114	99	199	137	114
LOC117812440	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1
LOC117812409	599	475	567	453	676	346	415	257	169	504	610	552	638	580	295
ap4m1	49	34	36	26	18	62	10	8	22	10	77	174	201	312	92
rbmx2	355	283	386	438	371	188	353	324	361	459	420	306	287	239	162
siah2l	129	142	30	27	30	94	8	5	6	8	275	205	284	200	125
LOC117812398	8	3	3	4	8	124	4	0	4	0	93	101	136	199	207
LOC117812417	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2
LOC117812416	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
LOC117812726	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
or101-1	0	1	0	1	0	3	1	2	0	1	1	1	2	2	0
LOC117812728	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117812403	0	0	2	1	3	4	1	2	0	1	6	6	11	96	30
LOC117812729	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LOC117812415	191	227	67	76	99	220	36	15	24	28	735	627	703	554	389
pof1b	89	123	31	15	26	82	20	11	19	15	80	36	187	262	129
LOC117812418	6	17	1	4	3	19	4	0	2	1	7	5	28	31	18
LOC117812442	0	0	2	0	0	1	0	2	2	1	0	1	0	0	1
LOC117812443	0	0	0	0	0	0	0	1	0	0	1	0	4	6	3
LOC117812444	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
LOC117812400	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
LOC117812438	3	2	0	0	0	0	0	0	0	0	1	2	0	0	0
LOC117812423	1	2	3	0	3	2	0	0	1	3	1	1	2	25	6
zgc:158291	0	0	0	0	0	0	0	0	0	0	6	2	3	23	5
klf5l	0	6	0	7	0	2	3	1	8	1	11	7	4	105	42
LOC117812436	0	0	2	1	0	0	0	0	0	1	0	1	1	8	2
klf8	54	84	18	27	28	80	16	15	19	12	50	63	163	261	121
rbm41	174	118	281	237	254	131	282	265	177	351	765	701	470	333	180
LOC117812441	0	0	0	0	0	2	0	0	0	0	1	0	0	8	3
ponzr2	0	0	1	0	0	0	0	0	0	0	0	0	1	10	2
LOC117812422	0	0	0	4	0	15	2	0	0	1	4	1	4	26	13
sap30l	622	556	374	340	520	203	186	49	46	154	530	475	383	306	211
LOC117812397	21	12	17	7	9	4	8	0	3	4	34	22	31	48	18
LOC117812437	0	1	0	0	0	0	0	0	0	0	0	2	0	7	1
LOC117812445	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
LOC117813209	3	0	1	12	1	18	1	4	0	0	0	0	0	1	2
LOC117813054	0	0	0	0	0	1	0	0	0	0	0	0	0	5	9
LOC117813414	605	298	189	71	248	81	8	10	2	6	8	6	15	69	22
LOC117812585	747	597	682	572	475	243	264	285	131	578	115	76	83	185	59
fam114a2	180	203	179	175	148	162	137	158	114	152	244	185	329	335	170
LOC117812874	34	18	28	10	53	20	92	45	75	29	0	0	0	0	0
LOC117812288	0	2	4	1	0	9	2	4	8	1	26	49	50	158	37
grk6	17	21	5	19	4	90	28	33	53	16	109	172	272	235	117
LOC117813268	0	1	0	1	1	0	2	3	0	0	0	0	0	6	3
LOC117813270	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0
nop16	2167	2681	1637	1756	1848	1953	1636	1011	846	1677	527	554	876	836	584
arl10	27	46	2	6	0	56	10	0	3	3	24	20	48	82	40
wwc1	94	222	30	24	31	263	18	9	12	13	887	675	764	629	332
rars1	1947	1781	2117	1964	2479	1800	2072	2552	1973	2945	732	886	1793	1494	1038
si:dkeyp-23e4.3	84	172	10	5	17	46	4	1	0	3	15	16	25	98	19
sgcd	17	35	0	2	6	30	7	5	3	0	30	26	101	88	44
LOC117813334	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC117813335	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0
LOC117813135	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
LOC117813159	0	0	0	0	0	0	0	0	0	1	1	0	0	3	2
LOC117812951	0	0	0	6	2	4	1	1	1	0	70	118	10	14	7
LOC117813261	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mrpl22	441	546	451	502	438	662	545	587	611	553	184	208	332	331	241
gemin5	1322	849	1216	1396	1568	735	969	917	921	1161	312	317	631	749	287
cnot8	1239	1150	1305	1299	1455	1280	909	509	494	1108	2262	2176	2005	1406	949
LOC117812963	502	631	337	289	386	363	135	45	35	183	184	196	292	284	137
capn5b	3	2	2	0	7	5	3	1	4	1	14	4	27	37	11
ompb	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC117813102	15	0	10	5	1	6	3	0	3	3	159	8	91	53	16
LOC117812186	14	43	25	16	23	207	11	21	21	15	186	224	456	422	197
LOC117812624	430	709	143	215	120	469	57	23	55	71	226	161	351	367	247
rsf1b.1	385	362	268	247	317	225	95	29	47	97	370	343	414	344	193
LOC117812478	0	0	0	0	0	0	0	0	0	0	5	5	5	2	0
LOC117813176	22	30	21	16	28	34	8	11	16	16	90	52	241	292	88
foxred1	406	306	264	337	319	308	246	194	160	362	309	301	602	475	301
kcnj1b	0	0	0	0	0	0	0	0	0	0	1	1	3	6	0
vps37d	84	91	3	14	8	60	7	3	6	1	76	102	131	166	80
LOC117812490	0	0	0	2	0	17	8	2	0	0	3	19	11	22	19
rabep1	702	458	502	486	545	183	381	174	153	418	238	293	276	288	108
mpzl1l	211	362	111	102	157	247	89	50	73	78	457	350	542	821	435
lrrc32	16	37	1	3	0	54	2	5	4	2	16	12	32	42	30
emsy	52	44	15	35	37	66	21	10	21	19	386	257	356	314	147
arhgef12b	106	149	14	23	28	332	22	23	28	15	169	91	309	410	215
tlcd5b	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
rcc1l	333	211	246	197	235	144	148	87	62	205	85	97	193	246	116
castor2	285	237	170	170	175	167	107	36	50	66	176	151	420	673	326
doc2b	3	2	0	0	1	1	1	0	1	2	3	1	9	9	1
LOC117812180	0	0	0	0	0	0	0	0	0	0	1	1	1	6	3
LOC117812179	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
tmem248	177	208	51	79	56	273	35	30	39	33	1148	1045	1142	936	621
lig3	147	152	170	167	177	114	57	25	46	61	208	150	278	318	141
rad51d	172	206	92	118	82	101	72	51	37	93	228	217	269	256	137
LOC117812783	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0
LOC117812730	0	0	0	0	0	1	0	0	0	0	159	91	96	15	7
tmem132e	86	91	16	5	22	17	4	0	3	4	7	9	9	32	21
LOC117813065	0	0	0	0	0	1	0	0	0	0	1	2	6	10	6
dtx2	520	542	268	316	593	358	176	74	80	154	1104	1143	1221	476	289
gtf2ird1	15	18	36	23	23	75	27	23	24	20	251	185	278	323	191
clip2	33	42	49	37	33	25	32	19	28	25	79	53	170	196	111
cldn2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
trnav-cac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812988	257	359	323	326	345	319	245	121	130	232	388	355	758	744	491
elmod1	3	43	1	0	0	8	7	0	16	10	5	11	8	63	13
LOC117813254	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0
LOC117813237	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
LOC117812334	0	1	2	2	3	1	1	1	0	2	0	0	0	1	0
gria4b	1	152	1	0	42	8	6	1	1	3	7	10	19	33	6
LOC117813147	0	19	16	3	4	0	8	0	13	0	0	0	0	0	0
LOC117812519	2759	1984	2547	2379	2354	1852	1967	1409	1606	2224	4005	3442	3307	1903	1293
LOC117813113	39	72	37	15	28	89	34	28	25	20	167	150	198	217	188
LOC117812220	0	0	5	1	0	5	0	1	0	25	44	61	173	27	222
LOC117812316	395	548	113	118	185	745	55	28	57	66	2734	2829	2491	1281	792
LOC117813026	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117813025	0	0	0	0	1	1	0	0	0	0	3	3	0	39	13
LOC117813213	287	347	182	220	295	166	167	113	113	161	55	69	214	326	161
tecta	28	28	16	8	29	27	10	11	9	10	571	420	554	276	106
plekhb1	0	0	9	5	4	9	1	1	2	0	1	0	2	9	6
LOC117812223	4	14	8	9	13	51	10	4	43	8	44	42	68	123	85
LOC117813089	0	1	2	2	2	3	2	2	0	0	0	0	0	0	1
cadm1a	15	37	5	3	12	20	12	4	11	14	35	19	50	65	47
LOC117813266	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
LOC117813418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813031	0	0	0	0	0	0	0	0	0	0	2	1	0	11	1
LOC117812732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812733	1	0	0	0	0	0	0	0	0	0	0	1	3	5	0
LOC117812734	6	5	0	0	1	23	3	1	2	2	75	35	92	269	112
LOC117812802	5	4	2	5	2	4	3	5	1	2	0	0	1	2	0
zbtb16a	96	82	29	37	55	77	15	19	15	29	100	61	128	452	152
LOC117813211	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
htr3a	0	0	0	0	0	2	0	0	1	1	0	2	4	26	2
htr3b	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
usp28	1	0	22	4	5	2	5	6	4	5	15	26	76	173	39
orai2	205	185	99	85	122	119	41	39	27	39	201	233	341	294	173
bckdk	326	351	137	147	222	325	67	53	95	122	572	519	1031	671	404
lrwd1	85	108	34	28	27	145	12	9	12	4	533	413	435	332	256
trnay-gua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813099	0	1	0	1	0	0	0	0	0	0	1	0	1	18	1
LOC117812800	0	0	0	0	0	0	1	0	0	0	12	13	2	3	3
LOC117812737	0	0	0	0	0	5	0	0	0	0	248	125	207	26	16
LOC117812799	8	0	14	10	8	196	4	7	42	1	256	249	213	23	1
LOC117812738	0	0	0	0	0	6	0	0	0	0	406	229	433	81	25
LOC117812190	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
LOC117813198	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LOC117813197	0	0	0	37	0	1	9	5	0	8	5	3	5	43	14
LOC117813200	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
trnay-gua_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813195	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1
LOC117812741	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
trnay-gua_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117812743	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
trnay-gua_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813199	0	0	0	3	2	6	0	0	2	0	0	0	0	6	0
LOC117813201	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117812224	392	426	272	240	291	440	161	102	127	119	1396	933	1188	814	725
mks1	140	144	113	176	158	118	95	45	40	78	419	300	155	149	64
zw10	429	532	452	217	453	415	258	127	132	227	852	646	884	1038	544
LOC117813056	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1
pom121	1453	913	846	1027	1148	469	502	221	151	568	1019	821	1024	569	389
tbl2	1378	875	945	980	1020	696	861	642	501	1072	821	611	592	284	146
mybbp1a	811	520	506	613	712	382	428	240	208	458	649	563	1336	880	484
LOC117813001	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1
LOC117813000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
psmg1	447	467	1012	599	548	1097	754	479	582	769	532	653	740	754	564
LOC117812792	114	119	174	165	165	253	157	134	127	161	1270	1253	741	456	271
LOC117812744	0	0	0	0	0	3	0	0	0	0	431	163	287	78	25
LOC117812746	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LOC117812322	0	0	0	0	1	3	0	0	0	1	3	4	2	6	3
pou2f3	0	1	1	1	0	6	1	2	0	0	2	4	7	41	9
trim37	1703	1343	1670	1408	2110	864	628	170	152	801	1869	1328	1467	987	478
ppm1e	0	0	0	0	0	2	0	0	0	0	1	0	2	3	0
smg8	728	580	574	718	868	312	432	191	144	474	169	163	251	229	136
kcnj15	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
vps26c	245	278	293	325	276	307	306	326	267	372	405	393	530	492	243
ttc3	480	419	984	750	769	676	464	188	221	497	2994	2518	2176	1207	744
LOC117813111	1	0	0	0	0	1	0	0	0	0	3	1	2	6	7
rabgef1	59	60	80	99	79	42	61	21	43	37	251	105	139	140	74
LOC117813042	0	0	0	0	0	11	0	1	0	1	77	86	62	84	24
kctd7	43	77	16	21	21	72	6	13	12	9	60	85	126	129	100
si:dkey-183i3.6	1	0	4	1	0	19	9	17	16	5	3	6	21	27	26
pgk1	948	871	343	630	482	969	343	277	289	473	621	690	1578	1212	1112
LOC117812756	783	1814	575	601	734	2499	955	883	686	865	1023	1203	1023	1189	897
trnal-caa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgrmc1	325	609	83	82	83	732	57	88	98	51	1490	1339	1186	944	667
rab24	228	211	125	162	132	489	97	69	58	99	2773	2390	1572	1287	794
nsd1b	62	73	41	31	30	62	46	27	23	42	52	63	214	224	102
fgfr4	13	25	19	20	20	9	20	27	61	16	5	8	13	58	5
znf346	268	289	379	381	330	112	391	194	189	224	156	182	196	277	152
LOC117812355	0	0	0	0	0	2	0	0	0	0	10	6	3	4	3
LOC117812351	18	31	20	20	3	28	17	8	13	7	54	51	30	61	58
LOC117812748	80	194	54	27	51	260	33	38	27	29	129	144	117	157	106
LOC117812350	188	400	158	163	134	237	88	42	38	76	103	114	57	212	78
LOC117812749	25	10	5	13	16	26	12	9	1	3	4	0	4	7	6
LOC117812349	3	7	6	3	10	5	0	1	2	2	6	6	7	15	6
LOC117812354	1	0	0	0	0	0	0	1	0	1	0	3	9	4	0
LOC117812750	3	0	10	3	2	11	3	0	0	0	1	4	8	1	1
LOC117812936	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117812751	1	0	0	0	0	1	0	0	0	1	9	0	13	7	2
LOC117812752	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1
LOC117812359	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0
LOC117812360	0	0	0	0	0	2	0	0	0	0	0	4	4	18	3
zgc:56585	34	28	13	53	17	44	26	20	21	20	8	8	20	40	64
larp1	380	306	130	179	243	149	25	26	24	51	491	448	652	494	285
faxdc2	180	162	93	175	157	72	127	61	55	125	37	45	43	72	27
LOC117812476	151	110	147	135	202	225	136	110	205	137	234	228	727	3268	1302
LOC117813122	0	7	0	0	3	0	1	2	0	0	1	0	0	3	2
LOC117813316	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
LOC117812283	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2
pitx1	13	9	3	8	5	9	9	2	7	11	12	18	16	40	17
LOC117812862	276	259	252	261	273	365	270	152	174	227	198	200	380	505	296
txndc15	427	578	519	523	491	677	422	248	254	376	805	927	605	496	349
c5h5orf24	0	0	1	1	6	15	0	0	0	0	17	22	31	58	37
ddx46	1253	749	646	778	986	524	342	159	210	398	1019	864	1196	1041	669
camlg	370	324	191	246	255	204	124	52	59	130	79	61	106	102	55
sec24a	792	496	422	519	609	181	198	72	139	299	1113	671	775	344	204
sar1b	379	554	176	249	214	567	95	68	75	89	1094	1015	964	541	423
LOC117814719	0	0	0	0	0	1	0	0	0	1	1	3	5	10	2
LOC117813788	3	2	16	6	9	3	3	0	1	4	4	8	11	96	25
slc12a3	106	70	142	51	30	337	80	104	83	35	4	6	4	34	9
LOC117813778	2	0	1	2	0	348	0	4	0	3	9284	6561	6771	1106	1275
LOC117813865	7	4	8	3	8	7	2	2	5	5	85	48	75	42	19
LOC117814506	12	11	8	17	11	18	16	6	3	8	65	51	64	61	35
LOC117814724	0	0	0	2	0	1	0	0	0	0	1	4	1	0	0
LOC117813866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117815024	0	0	0	0	0	1	0	0	0	0	7	1	0	1	0
LOC117813874	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117814722	0	0	0	0	0	2	0	0	1	0	1	4	0	10	9
LOC117814732	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
wu:fb74b10	0	4	1	7	0	4	0	0	0	0	0	0	6	24	21
LOC117813879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813883	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117813889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813837	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC117813891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC117813836	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC117813838	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
LOC117813897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
